,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(Last 3 hours),Snow inches (Last 3 hours)
221,Anloga,GH,2020-02-22 17:04:32,5.79,0.9,89.6,70,20,11.41,few clouds,0.0,0.0
222,Havoysund,NO,2020-02-22 17:04:33,71.0,24.66,35.6,59,95,21.92,overcast clouds,0.0,0.0
223,Chaiya,TH,2020-02-22 17:04:33,9.39,99.2,71.22,94,22,1.81,few clouds,0.0,0.0
224,Maryanovka,TH,2020-02-22 17:04:33,9.39,99.2,71.22,94,22,1.81,few clouds,0.0,0.0
225,Tautira,PF,2020-02-22 17:04:33,-17.73,-149.15,77.0,83,20,2.24,few clouds,0.0,0.0
226,Mount Gambier,AU,2020-02-22 17:04:33,-37.83,140.77,50.0,93,0,6.93,clear sky,0.0,0.0
227,Bambous Virieux,MU,2020-02-22 17:04:34,-20.34,57.76,80.6,78,75,4.7,broken clouds,0.0,0.0
228,Tuatapere,NZ,2020-02-22 17:04:34,-46.13,167.68,51.01,77,81,4.0,broken clouds,0.0,0.0
229,Sorgun,TR,2020-02-22 17:04:34,39.81,35.19,32.74,98,100,5.61,overcast clouds,0.0,0.0
230,Campeche,MX,2020-02-22 17:04:34,19.0,-90.5,86.81,41,12,5.37,few clouds,0.0,0.0
231,Kamenskoye,MX,2020-02-22 17:04:34,19.0,-90.5,86.81,41,12,5.37,few clouds,0.0,0.0
